BVAExport,Image,Gel_1_Run_1_Pig_1807_45034 CY3.gel,,Gel_1_Run_1_Pig_1807_45034 CY5.gel,,Gel_1_Run_2_Pig_1807_45046 CY3.gel,,Gel_1_Run_2_Pig_1807_45046 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_3_Run_1_Pig_1209_45036 CY3.gel,,Gel_3_Run_1_Pig_1209_45036 CY5.gel,,Gel_3_Run_2_Pig_1209_45048 CY3.gel,,Gel_3_Run_2_Pig_1209_45048 CY5.gel,,Gel_4_Run_1_Pig_1906_45037 CY3.gel,,Gel_4_Run_1_Pig_1906_45037 CY5.gel,,Gel_4_Run_2_Pig_1906_45049 CY3.gel,,Gel_4_Run_2_Pig_1906_45049 CY5.gel,,Gel_5_Run_1_Pig_3908_45038 CY3.gel,,Gel_5_Run_1_Pig_3908_45038 CY5.gel,,Gel_5_Run_2_Pig_3908_45050 CY3.gel,,Gel_5_Run_2_Pig_3908_45050 CY5.gel,,Gel_6_Run_1_Pig_3106_45039 CY3.gel,,Gel_6_Run_1_Pig_3106_45039 CY5.gel,,Gel_6_Run_2_Pig_3106_45051 CY3.gel,,Gel_6_Run_2_Pig_3106_45051 CY5.gel,,Gel_7_Run_1_Pig_2107_45040 CY3.gel,,Gel_7_Run_1_Pig_2107_45040 CY5.gel,,Gel_7_Run_2_Pig_2107_45052 CY3.gel,,Gel_7_Run_2_Pig_2107_45052 CY5.gel,,Gel_8_Run_1_Pig_2712_45041 CY3.gel,,Gel_8_Run_1_Pig_2712_45041 CY5.gel,,Gel_8_Run_2_Pig_2712_44495 CY3.gel,,Gel_8_Run_2_Pig_2712_44495 CY5.gel,
,Group,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,
Master No.,ProteinID,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume
497,,,,,,3.124142,2465171,-37.811543,54157,-20.452806,147684,6.151496,828068,-20.452806,147684,5.988729,828068,,,,,,,,,,,,,,,,,8.32711,3583627,-47.18626,71181,,,,,-24.727882,133380,5.373165,716567,-41.573727,71370,5.287436,826350,,,,,,,,,-39.854504,81818,6.520345,995416,-61.593456,42838,6.575683,881469
494,,,,,,-2.230767,104713,1.051955,637697,1.827173,2816969,-1.446099,47512,1.827173,2816969,-1.485402,47512,1.719482,161626,-1.027322,1164416,,,,,1.837043,3256541,-1.485278,47411,1.952895,3166601,-1.080697,51083,,,,,,,,,1.553529,2130245,-1.617121,34286,,,,,,,,,,,,,1.058795,1675490,-2.006127,36930,,,,
492,,3.360682,10140909,-60.237144,274898,2.889484,14580723,-52.55093,249196,-8.247619,2374212,4.070364,3552059,-8.247619,2374212,3.962662,3552059,9.858906,10465790,-28.972584,466291,,,,,-8.707935,2461094,4.992907,4250563,-9.457685,2301893,5.854302,4339214,3.972158,9827793,-44.391548,434991,,,,,-19.897156,915977,5.184411,3820533,-18.888262,1042018,4.219029,4373852,,,,,2.881348,5459568,-87.236198,188041,-13.027975,1435300,3.912727,3425366,-13.72851,1327319,3.557824,3293712
491,,,,,,1.719684,249841,1.365477,514828,12.132611,6359557,1.292769,30199,9.412927,7743710,-4.819433,7814,,,,,,,,,,,,,3.526058,961756,-1.624042,5718,,,,,-2.380355,20442,2.547267,549211,1.027791,854078,2.899895,97437,2.271758,929134,1.570275,33828,,,,,,,,,1.544521,1176202,2.063755,73579,2.051696,969254,1.339493,32149
490,,3.202098,1834394,-39.568085,79451,2.740453,2498399,-23.828255,99291,-4.401186,743990,4.065189,593221,-4.401186,743990,3.957625,593221,11.036081,1877539,-15.215793,142292,,,,,,,,,-6.023487,510439,4.925172,515560,4.425177,1776877,-19.611307,159798,2.983498,1823094,-18.257145,148303,,,,,-11.539048,245903,2.819087,421334,,,,,,,,,-5.878867,469131,3.621536,467615,-7.393274,329117,3.219352,397977
487,,2.236974,412964,-2.843543,356269,,,,,1.600732,3451726,2.133498,205026,2.079766,1696912,1.206107,45048,,,,,,,,,,,,,-1.242614,668424,-1.177873,24008,,,,,-1.008318,155878,1.303188,907589,2.519154,1095629,2.824239,49666,3.569971,5784105,2.403569,205122,,,,,,,,,2.900916,8942639,1.213617,175154,2.725353,8171587,1.050612,160040
486,,,,,,1.045054,546704,-1.945262,697908,,,,,1.600732,3451726,2.077047,205026,5.044433,539953,-2.570143,530014,,,,,1.348967,2891645,1.147047,97673,,,,,2.267474,458691,-2.541568,621194,1.390978,457625,-2.810944,518605,,,,,,,,,,,,,1.742345,397624,-7.438843,265595,1.399806,2655367,3.34557,297122,1.262777,2179956,3.13716,275144
485,,1.529057,199215,-1.972899,362393,,,,,2.6483,3571619,1.723622,103595,1.365063,2754504,1.843414,170278,,,,,,,,,,,,,,,,,,,,,1.32658,288752,-1.800741,535599,1.325439,2750930,3.376107,283325,,,,,,,,,2.59293,246393,-1.119186,735059,2.264234,2957066,1.499041,91656,1.726254,2848178,1.102116,92383
